Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715815160892,1715815160943,51,Q 1 9 & Q 3 1 & D 4 5 & Q 7 9 & A 10 6 & D 10 6 & Q 5 7 & Q 4 8 & A 4 4 & A 6 4 & Q 2 6 & Q 10 1 & A 8 1 & Q 7 1 & Q 4 5 & D 10 5 & A 6 5 & Q 6 4 & Q 7 1 & Q 5 2 & D 4 8 & Q 8 10 & Q 8 5 & F,GSPRemoteObject.processBatch called,30.0,5,4,14,23,1000
1,1715815162024,1715815162034,10,D 9 5 & Q 1 9 & Q 7 5 & Q 4 8 & A 10 2 & Q 8 3 & D 3 9 & D 10 6 & Q 4 4 & Q 6 7 & D 7 1 & Q 4 10 & Q 10 10 & Q 10 4 & D 7 1 & Q 5 5 & F,GSPRemoteObject.processBatch called,30.0,1,5,10,16,1000
2,1715815163033,1715815163046,13,Q 10 9 & Q 5 8 & D 4 4 & Q 10 6 & A 10 4 & A 4 5 & Q 2 7 & Q 8 2 & Q 8 5 & D 9 5 & D 3 3 & A 4 3 & A 1 6 & D 4 5 & D 10 3 & A 5 3 & A 5 10 & Q 9 5 & A 8 6 & Q 1 10 & Q 3 9 & Q 5 3 & F,GSPRemoteObject.processBatch called,30.0,7,5,10,22,1000
3,1715815164053,1715815164061,8,A 9 1 & Q 6 1 & Q 7 2 & Q 4 10 & Q 6 3 & A 7 9 & D 9 8 & Q 3 10 & Q 9 10 & Q 4 6 & Q 6 7 & Q 1 7 & Q 3 10 & Q 8 5 & Q 5 10 & Q 7 4 & Q 3 5 & Q 3 9 & F,GSPRemoteObject.processBatch called,30.0,2,1,15,18,1000
4,1715815165054,1715815165064,10,A 1 2 & Q 9 7 & Q 5 8 & Q 6 4 & D 1 1 & Q 7 7 & A 4 4 & Q 5 9 & Q 9 6 & Q 4 3 & D 3 8 & Q 3 9 & Q 1 5 & D 7 9 & Q 9 1 & D 1 10 & D 9 8 & D 9 9 & Q 8 7 & F,GSPRemoteObject.processBatch called,30.0,2,6,11,19,1000
5,1715815166065,1715815166073,8,Q 3 3 & Q 3 1 & D 3 8 & Q 8 8 & D 3 5 & D 9 2 & Q 3 1 & Q 3 7 & Q 2 6 & Q 10 1 & A 8 7 & Q 3 2 & Q 6 8 & Q 6 3 & Q 4 2 & D 9 8 & Q 6 7 & D 2 3 & Q 2 10 & F,GSPRemoteObject.processBatch called,30.0,1,5,13,19,1000
6,1715815167066,1715815167073,7,Q 3 5 & Q 5 8 & Q 1 5 & Q 5 10 & D 6 4 & Q 3 9 & Q 9 2 & A 9 10 & Q 5 1 & D 4 9 & D 10 8 & Q 3 10 & Q 6 3 & D 9 9 & Q 3 9 & Q 6 2 & Q 3 1 & F,GSPRemoteObject.processBatch called,30.0,1,4,12,17,1000
7,1715815168066,1715815168071,5,Q 2 1 & A 10 4 & Q 1 10 & Q 5 5 & A 5 2 & Q 3 3 & Q 4 2 & A 2 4 & Q 7 10 & Q 10 6 & Q 4 5 & F,GSPRemoteObject.processBatch called,30.0,3,0,8,11,1000
8,1715815169067,1715815169075,8,Q 4 5 & A 6 6 & D 3 5 & Q 9 8 & Q 7 2 & Q 2 6 & Q 7 3 & Q 2 3 & Q 9 2 & Q 1 7 & Q 2 4 & Q 3 3 & A 10 5 & A 1 9 & Q 8 5 & D 9 5 & Q 10 6 & Q 8 4 & Q 3 4 & Q 5 4 & Q 6 10 & A 6 2 & F,GSPRemoteObject.processBatch called,30.0,4,2,16,22,1000
9,1715815170067,1715815170112,45,Q 7 1 & D 3 1 & Q 2 1 & Q 3 8 & Q 8 2 & A 9 6 & Q 2 1 & Q 6 9 & Q 2 6 & Q 3 8 & D 4 7 & A 6 6 & D 6 7 & Q 4 5 & Q 2 8 & Q 6 5 & Q 7 6 & D 8 6 & Q 8 4 & D 2 6 & Q 4 9 & A 3 6 & Q 2 8 & A 6 3 & Q 3 8 & Q 10 7 & F,GSPRemoteObject.processBatch called,30.0,4,5,17,26,1000
