Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715942061442,1715942061452,10,Q 7 9 & D 2 7 & Q 8 1 & Q 3 3 & Q 9 9 & Q 6 9 & A 6 6 & Q 5 3 & Q 5 10 & Q 4 4 & Q 1 7 & Q 9 5 & Q 1 6 & Q 3 4 & Q 8 5 & Q 5 7 & D 4 1 & Q 5 1 & D 1 1 & Q 2 4 & Q 6 5 & D 4 10 & A 4 4 & Q 10 10 & F,GSPRemoteObject.processBatch called,30.0,2,4,18,24,1000
1,1715942062476,1715942062478,2,Q 10 1 & Q 10 4 & D 2 8 & A 1 8 & Q 10 3 & Q 10 2 & Q 8 6 & Q 6 7 & A 8 8 & A 10 10 & Q 1 1 & Q 4 10 & Q 3 2 & Q 7 10 & Q 8 4 & Q 9 4 & F,GSPRemoteObject.processBatch called,30.0,3,1,12,16,1000
2,1715942063477,1715942063482,5,Q 4 6 & A 5 2 & Q 1 5 & Q 2 2 & Q 8 5 & D 4 5 & Q 4 2 & Q 6 6 & Q 7 3 & D 8 8 & Q 8 7 & Q 8 7 & F,GSPRemoteObject.processBatch called,30.0,1,2,9,12,1000
3,1715942064480,1715942064496,16,D 10 3 & A 6 2 & Q 3 4 & Q 4 1 & A 9 8 & Q 8 10 & Q 4 3 & Q 1 7 & Q 1 9 & A 10 5 & Q 3 1 & Q 3 9 & Q 6 5 & Q 10 2 & Q 9 3 & Q 5 2 & Q 1 2 & Q 7 2 & Q 5 5 & Q 9 9 & F,GSPRemoteObject.processBatch called,30.0,3,1,16,20,1000
4,1715942065482,1715942065493,11,Q 3 10 & A 3 8 & Q 7 2 & Q 5 5 & A 7 8 & Q 6 8 & Q 1 6 & Q 10 2 & Q 9 2 & Q 5 10 & A 8 3 & A 9 5 & Q 2 4 & Q 4 6 & Q 3 8 & D 9 9 & Q 1 3 & A 4 10 & Q 6 6 & A 2 6 & Q 8 10 & Q 10 10 & Q 5 7 & Q 2 10 & Q 1 1 & A 8 7 & F,GSPRemoteObject.processBatch called,30.0,7,1,18,26,1000
5,1715942066485,1715942066494,9,Q 5 5 & Q 5 5 & Q 4 3 & Q 9 9 & Q 5 6 & Q 8 4 & Q 10 10 & Q 10 5 & Q 9 7 & Q 10 6 & Q 3 8 & Q 1 7 & F,GSPRemoteObject.processBatch called,30.0,0,0,12,12,1000
6,1715942067488,1715942067497,9,Q 7 4 & Q 5 5 & Q 8 5 & Q 6 1 & D 4 9 & Q 4 8 & Q 9 7 & Q 6 2 & Q 1 10 & Q 2 4 & A 7 10 & Q 1 2 & Q 3 7 & Q 9 9 & Q 5 1 & F,GSPRemoteObject.processBatch called,30.0,1,1,13,15,1000
7,1715942068490,1715942068494,4,Q 10 6 & A 3 5 & Q 3 9 & Q 8 3 & Q 1 9 & A 7 6 & Q 2 2 & Q 6 4 & Q 1 6 & Q 9 4 & Q 3 4 & Q 9 9 & Q 2 5 & Q 6 4 & Q 7 10 & Q 10 4 & Q 10 10 & A 5 2 & D 3 9 & Q 1 6 & Q 10 10 & Q 1 8 & D 3 10 & D 7 4 & Q 5 2 & D 2 5 & F,GSPRemoteObject.processBatch called,30.0,3,4,19,26,1000
8,1715942069492,1715942069498,6,D 8 2 & Q 1 8 & Q 2 2 & D 3 10 & Q 4 6 & D 5 8 & Q 4 6 & Q 4 4 & Q 1 1 & Q 6 8 & Q 8 10 & D 9 10 & D 3 8 & Q 10 4 & Q 3 10 & A 3 1 & D 2 8 & Q 4 10 & D 3 6 & D 9 4 & Q 2 8 & Q 1 10 & Q 10 5 & F,GSPRemoteObject.processBatch called,30.0,1,8,14,23,1000
9,1715942070497,1715942070502,5,Q 1 9 & D 2 6 & Q 8 9 & D 8 4 & Q 8 3 & Q 2 10 & Q 4 3 & D 9 5 & Q 1 1 & Q 9 1 & Q 3 8 & A 6 8 & Q 10 9 & Q 8 10 & Q 9 8 & Q 7 8 & A 7 7 & Q 10 8 & F,GSPRemoteObject.processBatch called,30.0,2,3,13,18,1000
