Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715982744378,1715982744415,37,Q 81 59 & Q 183 101 & Q 124 195 & Q 77 69 & Q 200 76 & Q 150 186 & Q 75 127 & Q 54 48 & Q 174 134 & Q 66 94 & Q 142 46 & Q 130 11 & Q 28 61 & Q 47 191 & Q 194 135 & Q 180 25 & Q 6 35 & Q 66 114 & Q 177 71 & Q 185 142 & Q 74 138 & Q 118 110 & Q 158 165 & F,2 & 2 & 1 & 2 & 2 & 2 & 1 & 1 & 1 & 2 & 1 & 1 & 1 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,23,23,499
1,1715982744945,1715982744947,2,Q 199 165 & Q 181 19 & Q 67 85 & Q 24 38 & Q 100 62 & Q 98 163 & Q 163 189 & Q 140 196 & Q 4 144 & Q 96 77 & Q 87 1 & Q 114 120 & Q 20 90 & Q 120 194 & Q 47 71 & Q 35 15 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,16,16,413
2,1715982745363,1715982745367,4,Q 100 139 & Q 165 48 & Q 144 194 & Q 190 56 & Q 10 144 & Q 134 165 & Q 172 87 & Q 38 32 & Q 78 185 & Q 99 145 & Q 143 33 & Q 134 93 & Q 81 26 & Q 104 135 & Q 20 63 & Q 35 23 & Q 95 70 & Q 69 45 & Q 78 96 & Q 131 160 & Q 23 179 & Q 85 123 & F,2 & 2 & 2 & 3 & 2 & 1 & 2 & 1 & 2 & 2 & 1 & 1 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & ,0.0,0,0,22,22,335
3,1715982745702,1715982745707,5,Q 9 31 & Q 66 141 & Q 187 102 & Q 174 110 & Q 56 43 & Q 147 29 & Q 189 68 & Q 93 70 & Q 159 70 & Q 194 186 & Q 26 77 & Q 21 107 & Q 113 80 & Q 68 165 & Q 15 190 & Q 117 94 & Q 53 15 & Q 43 199 & F,2 & 2 & 2 & 1 & 1 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 1 & 1 & 2 & ,0.0,0,0,18,18,257
4,1715982745964,1715982745974,10,Q 171 112 & Q 29 117 & Q 155 118 & Q 126 164 & Q 11 151 & Q 167 107 & Q 144 4 & Q 175 189 & Q 199 176 & Q 54 133 & Q 83 178 & Q 73 179 & Q 121 25 & Q 67 169 & Q 49 151 & Q 181 10 & Q 189 68 & Q 179 159 & Q 58 87 & F,2 & 2 & 2 & 1 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,19,19,215
5,1715982746181,1715982746193,12,Q 143 163 & Q 173 11 & Q 13 8 & Q 18 178 & Q 43 85 & Q 9 32 & Q 133 171 & Q 33 137 & Q 162 166 & Q 60 71 & Q 158 127 & Q 123 182 & Q 86 98 & Q 26 193 & Q 24 172 & Q 19 78 & Q 166 147 & Q 192 23 & Q 132 60 & F,2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 1 & ,0.0,0,0,19,19,394
6,1715982746582,1715982746584,2,Q 103 125 & Q 65 168 & Q 151 5 & Q 55 110 & Q 16 194 & Q 33 199 & Q 19 32 & Q 199 50 & Q 85 101 & Q 64 99 & Q 130 188 & Q 23 60 & Q 86 93 & Q 19 69 & Q 173 29 & Q 146 122 & Q 173 191 & F,2 & 2 & 1 & 1 & 2 & 2 & 1 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,17,17,248
7,1715982746833,1715982746836,3,Q 2 151 & Q 110 34 & Q 1 60 & Q 105 195 & Q 175 132 & Q 83 153 & Q 24 32 & Q 172 4 & Q 7 100 & Q 30 36 & Q 84 115 & F,2 & 1 & 2 & 2 & 2 & 1 & 2 & 2 & 1 & 2 & 1 & ,0.0,0,0,11,11,409
8,1715982747243,1715982747245,2,Q 124 155 & Q 56 86 & Q 43 45 & Q 69 198 & Q 107 172 & Q 82 36 & Q 17 3 & Q 192 43 & Q 159 142 & Q 61 197 & Q 12 94 & Q 103 173 & Q 30 165 & Q 171 9 & Q 88 105 & Q 79 185 & Q 130 66 & Q 158 14 & Q 133 44 & Q 25 104 & Q 76 60 & Q 26 72 & F,1 & 1 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 1 & ,0.0,0,0,22,22,86
9,1715982747332,1715982747336,4,Q 147 11 & Q 123 71 & Q 122 1 & Q 3 18 & Q 178 72 & Q 99 166 & Q 172 81 & Q 46 169 & Q 72 166 & Q 193 128 & Q 184 127 & Q 6 146 & Q 196 147 & Q 64 185 & Q 62 38 & Q 156 195 & Q 127 176 & Q 88 46 & Q 78 4 & Q 82 126 & Q 194 159 & Q 43 6 & Q 22 38 & Q 166 3 & Q 113 168 & Q 90 77 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 1 & 2 & ,0.0,0,0,26,26,99
