Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715968539461,1715968539491,30,Q 81 59 & Q 183 101 & D 124 195 & Q 77 69 & A 200 76 & D 150 186 & Q 75 127 & D 54 48 & A 174 134 & A 66 94 & Q 142 46 & Q 130 11 & A 28 61 & Q 47 191 & D 194 135 & D 180 25 & A 6 35 & Q 66 114 & Q 177 71 & Q 185 142 & D 74 138 & Q 118 110 & Q 158 165 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,35.30686616924298,5,6,12,23,2000
1,1715968541525,1715968541530,5,A 199 165 & Q 181 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 163 & D 163 189 & D 140 196 & Q 4 144 & Q 96 77 & D 87 1 & Q 114 120 & Q 20 90 & Q 120 194 & D 47 71 & Q 35 15 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,34.68656412152989,2,4,10,16,2000
2,1715968543528,1715968543535,7,Q 100 139 & Q 165 48 & D 144 194 & Q 190 56 & A 10 144 & A 134 165 & Q 172 87 & Q 38 32 & Q 78 185 & D 99 145 & D 143 33 & A 134 93 & A 81 26 & D 104 135 & D 20 63 & A 35 23 & A 95 70 & Q 69 45 & A 78 96 & Q 131 160 & D 23 179 & Q 85 123 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,31.258830098352096,7,6,9,22,2000
3,1715968545532,1715968545538,6,A 9 31 & Q 66 141 & Q 187 102 & Q 174 110 & Q 56 43 & A 147 29 & D 189 68 & Q 93 70 & Q 159 70 & Q 194 186 & Q 26 77 & Q 21 107 & Q 113 80 & Q 68 165 & Q 15 190 & Q 117 94 & Q 53 15 & Q 43 199 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,28.609861744471722,2,1,15,18,2000
4,1715968547536,1715968547542,6,A 171 112 & Q 29 117 & Q 155 118 & Q 126 164 & D 11 151 & Q 167 107 & A 144 4 & Q 175 189 & Q 199 176 & Q 54 133 & D 83 178 & Q 73 179 & Q 121 25 & D 67 169 & Q 49 151 & D 181 10 & D 189 68 & D 179 159 & Q 58 87 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,32.97214973538,2,6,11,19,2000
5,1715968549537,1715968549542,5,Q 143 163 & Q 173 11 & D 13 8 & Q 18 178 & Q 43 85 & D 9 32 & Q 133 171 & Q 33 137 & Q 162 166 & Q 60 71 & A 158 127 & Q 123 182 & Q 86 98 & Q 26 193 & Q 24 172 & D 19 78 & Q 166 147 & D 192 23 & Q 132 60 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,25.335866940517114,1,4,14,19,2000
6,1715968551539,1715968551543,4,Q 103 125 & Q 65 168 & Q 151 5 & Q 55 110 & D 16 194 & Q 33 199 & Q 19 32 & A 199 50 & Q 85 101 & D 64 99 & D 130 188 & Q 23 60 & Q 86 93 & D 19 69 & Q 173 29 & Q 146 122 & Q 173 191 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,31.74954251877823,1,4,12,17,2000
7,1715968553541,1715968553545,4,Q 2 151 & A 110 34 & Q 1 60 & Q 105 195 & A 175 132 & Q 83 153 & Q 24 32 & A 172 4 & Q 7 100 & Q 30 36 & Q 84 115 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,22.563141484768668,3,0,8,11,2000
8,1715968555542,1715968555548,6,Q 124 155 & A 56 86 & D 43 45 & Q 69 198 & Q 107 172 & Q 82 36 & Q 17 3 & Q 192 43 & Q 159 142 & Q 61 197 & Q 12 94 & Q 103 173 & A 30 165 & A 171 9 & Q 88 105 & D 79 185 & Q 130 66 & Q 158 14 & Q 133 44 & Q 25 104 & Q 76 60 & A 26 72 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,29.48786566807871,4,2,16,22,2000
9,1715968557545,1715968557551,6,Q 147 11 & D 123 71 & Q 122 1 & Q 3 18 & Q 178 72 & A 99 166 & Q 172 81 & Q 46 169 & Q 72 166 & Q 193 128 & D 184 127 & A 6 146 & A 196 147 & D 64 185 & Q 62 38 & Q 156 195 & Q 127 176 & D 88 46 & Q 78 4 & A 82 126 & Q 194 159 & A 43 6 & Q 22 38 & A 166 3 & Q 113 168 & Q 90 77 & F,-1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & -1 & ,37.177607424615175,6,4,16,26,2000
