Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715982687210,1715982687220,10,Q 126 106 & Q 120 94 & Q 103 77 & Q 77 33 & Q 171 144 & Q 1 64 & Q 114 44 & Q 31 59 & Q 47 131 & Q 31 86 & Q 128 13 & Q 114 165 & Q 66 24 & Q 176 135 & Q 136 158 & Q 194 41 & Q 157 161 & Q 114 60 & Q 4 98 & Q 153 2 & Q 195 199 & Q 176 100 & Q 102 54 & F,1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,23,23,132
1,1715982687446,1715982687448,2,Q 174 134 & Q 61 26 & Q 1 195 & Q 143 8 & Q 110 145 & Q 80 148 & Q 124 96 & Q 24 30 & Q 77 129 & Q 141 133 & Q 184 112 & Q 47 76 & Q 47 105 & Q 52 32 & Q 7 196 & Q 80 47 & F,1 & 1 & 1 & 2 & 2 & 1 & 2 & 1 & 2 & 2 & 1 & 2 & 1 & 2 & 2 & 1 & ,0.0,0,0,16,16,109
2,1715982687557,1715982687558,1,Q 123 124 & Q 3 153 & Q 39 133 & Q 169 126 & Q 28 34 & Q 28 122 & Q 105 4 & Q 94 48 & Q 31 36 & Q 156 82 & Q 1 152 & Q 42 85 & Q 141 11 & Q 71 31 & Q 30 92 & Q 35 142 & F,2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 1 & ,0.0,0,0,16,16,266
3,1715982687825,1715982687828,3,Q 7 82 & Q 197 130 & Q 47 190 & Q 200 175 & Q 137 146 & Q 132 199 & Q 67 179 & Q 180 190 & Q 194 175 & Q 69 179 & Q 70 178 & Q 192 55 & Q 151 94 & Q 149 95 & Q 160 132 & Q 124 76 & Q 112 44 & Q 154 17 & Q 175 188 & Q 18 119 & Q 67 60 & Q 111 154 & Q 187 87 & Q 31 89 & Q 142 92 & F,2 & 2 & 1 & 2 & 2 & 1 & 1 & 2 & 2 & 1 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 1 & ,0.0,0,0,25,25,287
4,1715982688114,1715982688115,1,Q 26 54 & Q 60 60 & Q 132 159 & Q 161 17 & Q 148 66 & Q 100 7 & Q 141 189 & Q 111 160 & Q 7 44 & Q 68 200 & Q 138 11 & Q 20 189 & Q 191 41 & Q 20 83 & Q 38 164 & Q 42 194 & Q 190 135 & F,1 & 0 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & ,0.0,0,0,17,17,226
5,1715982688342,1715982688342,0,Q 161 170 & Q 34 67 & Q 166 139 & Q 75 44 & Q 156 14 & Q 1 188 & Q 95 110 & Q 119 30 & Q 187 103 & Q 194 142 & Q 37 97 & Q 154 172 & Q 110 195 & Q 57 12 & Q 43 14 & Q 119 25 & Q 42 157 & Q 130 107 & Q 8 133 & Q 178 81 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & ,0.0,0,0,20,20,177
6,1715982688522,1715982688527,5,Q 197 181 & Q 142 119 & Q 53 167 & Q 95 166 & Q 3 193 & Q 146 3 & Q 193 146 & Q 122 33 & Q 49 30 & Q 77 118 & Q 93 61 & Q 78 148 & Q 179 34 & Q 42 111 & Q 121 32 & Q 89 9 & F,2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 1 & 2 & ,0.0,0,0,16,16,281
7,1715982688805,1715982688807,2,Q 109 68 & Q 51 50 & Q 194 96 & Q 176 48 & Q 135 154 & Q 170 112 & Q 187 60 & Q 142 105 & Q 55 39 & Q 186 95 & Q 53 2 & Q 3 31 & Q 161 119 & Q 108 65 & Q 39 126 & Q 68 160 & Q 9 98 & Q 175 200 & Q 145 118 & Q 17 7 & Q 81 66 & Q 127 158 & Q 66 149 & Q 168 187 & Q 117 2 & Q 48 35 & Q 114 122 & F,2 & 2 & 2 & 2 & 1 & 1 & 2 & 1 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 1 & 1 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 1 & 2 & ,0.0,0,0,27,27,60
8,1715982688868,1715982688869,1,Q 77 92 & Q 151 171 & Q 196 105 & Q 20 34 & Q 135 122 & Q 86 72 & Q 76 69 & Q 126 52 & Q 131 68 & Q 139 143 & Q 175 183 & Q 127 166 & Q 176 14 & Q 101 2 & Q 95 111 & Q 75 128 & Q 26 49 & Q 14 137 & Q 93 115 & Q 192 168 & Q 170 12 & F,2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,21,21,79
9,1715982688950,1715982688951,1,Q 138 54 & Q 158 58 & Q 165 43 & Q 90 45 & Q 115 83 & Q 55 117 & Q 151 152 & Q 65 157 & Q 27 184 & Q 46 116 & Q 173 25 & Q 94 83 & Q 147 60 & Q 134 6 & Q 36 79 & Q 83 7 & Q 104 30 & Q 22 74 & Q 174 176 & Q 129 23 & Q 118 8 & F,1 & 2 & 1 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 1 & 2 & ,0.0,0,0,21,21,286
10,1715982689238,1715982689240,2,Q 144 195 & Q 160 169 & Q 160 91 & Q 108 128 & Q 160 189 & Q 173 41 & Q 77 19 & Q 85 10 & Q 36 120 & Q 181 130 & Q 68 171 & Q 188 101 & Q 62 191 & Q 112 133 & Q 29 24 & Q 169 62 & Q 200 187 & Q 193 141 & Q 86 29 & F,2 & 2 & 2 & 2 & 2 & 1 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & ,0.0,0,0,19,19,273
11,1715982689514,1715982689515,1,Q 188 113 & Q 85 57 & Q 114 139 & Q 188 133 & Q 50 189 & Q 21 157 & Q 60 19 & Q 26 108 & Q 72 151 & Q 82 196 & Q 43 10 & Q 19 109 & Q 181 145 & Q 156 72 & Q 191 189 & Q 14 29 & Q 138 175 & Q 181 100 & Q 189 150 & Q 150 197 & Q 157 117 & Q 162 150 & Q 140 38 & Q 100 13 & Q 154 31 & Q 7 140 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & ,0.0,0,0,26,26,71
12,1715982689587,1715982689594,7,Q 68 18 & Q 61 68 & Q 86 137 & Q 67 11 & Q 100 200 & Q 170 19 & Q 163 83 & Q 175 168 & Q 131 147 & Q 72 30 & Q 192 171 & Q 53 17 & Q 61 42 & Q 115 27 & Q 83 116 & Q 65 98 & Q 102 154 & Q 72 16 & Q 149 72 & Q 149 21 & Q 60 49 & Q 1 2 & Q 101 173 & Q 136 146 & Q 81 140 & F,2 & 1 & 1 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & ,0.0,0,0,25,25,372
13,1715982689964,1715982689965,1,Q 143 9 & Q 153 139 & Q 86 92 & Q 175 64 & Q 172 17 & Q 47 51 & Q 51 168 & Q 181 130 & Q 107 85 & Q 98 38 & Q 165 104 & Q 86 83 & Q 4 157 & Q 7 105 & Q 93 150 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,15,15,478
14,1715982690444,1715982690447,3,Q 79 122 & Q 105 46 & Q 163 122 & Q 200 34 & Q 66 37 & Q 192 163 & Q 199 143 & Q 84 144 & Q 142 46 & Q 171 106 & Q 19 151 & Q 145 97 & Q 120 9 & Q 46 37 & Q 129 73 & Q 121 93 & Q 146 45 & Q 110 11 & Q 188 134 & Q 183 83 & Q 119 96 & Q 185 183 & Q 195 148 & Q 36 13 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,24,24,253
15,1715982690703,1715982690709,6,Q 60 6 & Q 101 190 & Q 130 57 & Q 198 61 & Q 163 165 & Q 75 77 & Q 129 49 & Q 28 5 & Q 66 112 & Q 143 193 & Q 117 181 & Q 39 61 & Q 137 174 & Q 175 49 & Q 132 65 & Q 93 197 & Q 57 5 & Q 36 143 & Q 59 82 & Q 160 18 & Q 120 73 & Q 97 157 & F,1 & 1 & 1 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,22,22,69
16,1715982690775,1715982690779,4,Q 69 3 & Q 172 5 & Q 170 146 & Q 63 93 & Q 158 5 & Q 1 23 & Q 156 144 & Q 134 145 & Q 23 81 & Q 81 6 & Q 143 121 & Q 113 21 & Q 116 88 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,13,13,196
17,1715982690974,1715982690981,7,Q 112 145 & Q 4 26 & Q 176 153 & Q 152 163 & Q 5 25 & Q 39 138 & Q 19 165 & Q 75 12 & Q 133 127 & Q 31 155 & Q 50 143 & Q 183 24 & Q 67 88 & Q 49 13 & F,2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 1 & 2 & 2 & ,0.0,0,0,14,14,357
18,1715982691334,1715982691336,2,Q 39 46 & Q 164 170 & Q 153 157 & Q 96 117 & Q 27 77 & Q 149 177 & Q 151 104 & Q 160 28 & Q 195 77 & Q 125 44 & Q 180 74 & Q 155 38 & Q 130 69 & Q 96 21 & Q 44 80 & Q 89 3 & Q 200 2 & Q 112 21 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & ,0.0,0,0,18,18,93
19,1715982691429,1715982691436,7,Q 120 79 & Q 98 33 & Q 156 99 & Q 199 51 & Q 85 36 & Q 71 174 & Q 59 139 & Q 38 22 & Q 193 160 & Q 127 137 & Q 16 123 & Q 4 108 & Q 82 200 & Q 125 53 & Q 105 70 & Q 34 6 & Q 93 106 & Q 80 195 & Q 51 111 & Q 67 81 & Q 144 99 & Q 83 43 & Q 115 173 & F,2 & 2 & 1 & 2 & 2 & 2 & 1 & 1 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 1 & 2 & 2 & ,0.0,0,0,23,23,285
20,1715982691717,1715982691718,1,Q 29 178 & Q 39 168 & Q 87 153 & Q 30 103 & Q 174 178 & Q 52 19 & Q 43 183 & Q 157 135 & Q 131 124 & Q 118 19 & Q 33 184 & Q 9 111 & Q 131 78 & Q 71 113 & Q 22 186 & Q 88 89 & Q 175 4 & Q 11 58 & Q 75 123 & Q 34 58 & Q 70 186 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & ,0.0,0,0,21,21,180
21,1715982691899,1715982691900,1,Q 11 148 & Q 11 125 & Q 168 168 & Q 119 192 & Q 29 37 & Q 164 9 & Q 75 134 & Q 64 181 & Q 76 71 & Q 198 145 & Q 14 10 & Q 155 76 & Q 146 95 & Q 16 126 & Q 32 54 & Q 167 124 & Q 31 140 & Q 112 51 & Q 89 35 & Q 84 192 & Q 28 140 & Q 17 148 & Q 199 193 & Q 8 196 & Q 200 114 & Q 63 39 & F,2 & 2 & 0 & 2 & 2 & 2 & 1 & 2 & 2 & 1 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 1 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,26,26,328
22,1715982692230,1715982692232,2,Q 151 70 & Q 91 83 & Q 21 192 & Q 138 44 & Q 50 150 & Q 32 41 & Q 85 182 & Q 17 147 & Q 148 56 & Q 61 114 & Q 6 146 & Q 52 22 & Q 56 139 & Q 80 68 & Q 78 193 & Q 35 71 & Q 141 126 & Q 77 11 & Q 44 10 & Q 58 32 & Q 114 57 & Q 21 85 & Q 119 90 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 1 & 1 & 2 & 2 & 2 & 1 & 2 & ,0.0,0,0,23,23,221
23,1715982692454,1715982692456,2,Q 91 43 & Q 179 153 & Q 23 199 & Q 16 110 & Q 198 68 & Q 99 138 & Q 134 158 & Q 11 178 & Q 48 22 & Q 15 69 & Q 105 133 & Q 118 57 & Q 191 33 & Q 27 98 & Q 66 190 & Q 59 141 & Q 163 5 & Q 157 8 & Q 94 72 & Q 184 101 & F,1 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & ,0.0,0,0,20,20,442
24,1715982692898,1715982692900,2,Q 127 159 & Q 53 18 & Q 150 124 & Q 81 109 & Q 199 182 & Q 110 147 & Q 66 55 & Q 64 151 & Q 74 185 & Q 157 189 & Q 77 22 & Q 156 79 & Q 157 106 & Q 133 132 & Q 46 66 & Q 199 104 & Q 141 52 & Q 185 119 & Q 33 127 & Q 35 46 & Q 100 163 & Q 95 52 & Q 187 54 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & ,0.0,0,0,23,23,349
25,1715982693249,1715982693250,1,Q 66 157 & Q 99 36 & Q 128 199 & Q 143 117 & Q 92 163 & Q 123 189 & Q 126 41 & Q 188 142 & Q 124 139 & Q 148 113 & Q 169 189 & Q 42 72 & Q 168 115 & Q 7 183 & Q 31 190 & Q 17 28 & F,2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,16,16,71
26,1715982693321,1715982693322,1,Q 200 185 & Q 158 95 & Q 143 80 & Q 8 78 & Q 140 82 & Q 144 32 & Q 48 4 & Q 194 42 & Q 56 1 & Q 77 137 & Q 150 12 & Q 47 105 & Q 62 85 & Q 84 67 & Q 120 199 & Q 3 187 & Q 65 41 & Q 107 66 & Q 49 24 & Q 21 86 & Q 99 78 & Q 76 6 & Q 199 157 & F,1 & 2 & 2 & 1 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & ,0.0,0,0,23,23,191
