Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715983673818,1715983673820,2,Q 132 2 & Q 195 194 & Q 120 191 & Q 191 107 & Q 186 31 & Q 183 182 & Q 75 149 & Q 48 71 & Q 52 193 & Q 182 113 & Q 34 10 & Q 68 11 & Q 162 183 & Q 174 92 & Q 194 123 & Q 160 81 & Q 63 13 & Q 167 6 & Q 114 132 & Q 14 15 & Q 152 194 & Q 25 119 & Q 2 76 & Q 195 72 & Q 50 134 & Q 136 74 & F,2 & 3 & 2 & 2 & 1 & 2 & 2 & 2 & 1 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & ,0.0,0,0,26,26,383
1,1715983674286,1715983674288,2,Q 62 170 & Q 91 114 & Q 68 5 & Q 69 48 & Q 194 139 & Q 83 23 & Q 115 52 & Q 162 158 & Q 160 135 & Q 57 97 & Q 180 54 & Q 186 23 & Q 53 200 & Q 19 148 & Q 132 138 & Q 178 134 & Q 147 46 & Q 146 184 & Q 43 180 & Q 72 52 & Q 191 58 & Q 83 63 & Q 159 85 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 3 & 1 & 2 & ,0.0,0,0,23,23,245
2,1715983674534,1715983674538,4,Q 84 138 & Q 16 35 & Q 129 194 & Q 27 144 & Q 20 192 & Q 111 87 & Q 77 59 & Q 106 38 & Q 42 107 & Q 36 174 & Q 162 25 & Q 110 143 & Q 82 173 & Q 97 190 & Q 161 190 & Q 151 124 & Q 120 21 & Q 48 174 & Q 28 165 & Q 144 148 & Q 35 160 & Q 105 195 & Q 78 99 & Q 107 139 & Q 178 46 & Q 17 163 & Q 56 96 & Q 77 41 & F,3 & 3 & 2 & 3 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,28,28,35
3,1715983674571,1715983674574,3,Q 48 152 & Q 86 126 & Q 144 36 & Q 116 168 & Q 141 79 & Q 129 188 & Q 198 125 & Q 131 53 & Q 66 128 & Q 187 143 & Q 133 173 & Q 64 81 & Q 144 20 & Q 16 110 & F,2 & 1 & 2 & 2 & 2 & 3 & 2 & 3 & 2 & 2 & 2 & 3 & 1 & 2 & ,0.0,0,0,14,14,313
4,1715983674887,1715983674888,1,Q 148 122 & Q 140 191 & Q 187 188 & Q 188 17 & Q 181 139 & Q 128 198 & Q 74 56 & Q 10 5 & Q 98 147 & Q 128 108 & Q 95 88 & Q 34 184 & Q 112 79 & Q 59 21 & Q 34 135 & F,2 & 2 & 3 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,15,15,463
5,1715983675352,1715983675354,2,Q 115 103 & Q 54 133 & Q 84 96 & Q 58 179 & Q 16 87 & Q 132 122 & Q 93 106 & Q 131 133 & Q 79 104 & Q 138 30 & Q 115 58 & Q 149 99 & Q 43 54 & Q 143 68 & Q 24 33 & Q 99 57 & Q 194 17 & Q 200 198 & Q 103 156 & F,2 & 3 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 3 & 1 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & ,0.0,0,0,19,19,253
6,1715983675608,1715983675612,4,Q 32 146 & Q 45 21 & Q 144 10 & Q 90 145 & Q 39 30 & Q 16 29 & Q 66 54 & Q 4 25 & Q 17 72 & Q 2 1 & Q 105 57 & Q 121 44 & Q 108 53 & Q 142 51 & Q 74 60 & Q 120 52 & Q 184 7 & Q 159 186 & F,2 & 3 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 1 & 3 & 2 & ,0.0,0,0,18,18,483
7,1715983676096,1715983676098,2,Q 144 152 & Q 107 138 & Q 67 51 & Q 49 59 & Q 4 154 & Q 80 106 & Q 109 88 & Q 84 191 & Q 87 176 & Q 132 143 & Q 27 146 & Q 79 33 & Q 178 12 & Q 177 101 & Q 82 36 & Q 41 122 & Q 16 45 & Q 134 32 & Q 122 147 & Q 195 34 & Q 136 150 & Q 60 135 & F,2 & 3 & 3 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & 3 & 3 & 2 & 2 & 2 & 2 & ,0.0,0,0,22,22,8
8,1715983676105,1715983676106,1,Q 141 156 & Q 136 196 & Q 85 72 & Q 164 13 & Q 192 152 & Q 9 107 & Q 70 8 & Q 70 74 & Q 168 167 & Q 46 138 & Q 129 139 & Q 187 142 & Q 46 108 & Q 132 160 & Q 79 177 & Q 162 8 & Q 40 18 & Q 115 26 & Q 95 15 & Q 145 80 & Q 70 124 & Q 28 35 & Q 69 175 & Q 107 156 & Q 87 64 & Q 194 94 & Q 94 108 & Q 64 193 & F,2 & 2 & 2 & 2 & 2 & 1 & 3 & 3 & 2 & 1 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 3 & 2 & 2 & 1 & 2 & ,0.0,0,0,28,28,250
9,1715983676357,1715983676359,2,Q 16 53 & Q 46 92 & Q 121 161 & Q 126 130 & Q 122 129 & Q 90 55 & Q 117 170 & Q 157 191 & Q 149 143 & Q 192 193 & Q 186 107 & Q 33 117 & Q 116 101 & Q 43 18 & Q 174 181 & F,2 & 1 & 1 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,15,15,383
10,1715983676745,1715983676746,1,Q 99 26 & Q 125 3 & Q 159 189 & Q 26 181 & Q 159 168 & Q 181 185 & Q 138 192 & Q 139 177 & Q 133 110 & Q 1 177 & Q 85 6 & Q 138 162 & Q 180 16 & Q 185 125 & Q 64 151 & Q 24 19 & Q 28 152 & F,2 & 2 & 2 & 1 & 2 & 2 & 1 & 3 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 3 & ,0.0,0,0,17,17,494
11,1715983677241,1715983677245,4,Q 196 120 & Q 149 55 & Q 199 100 & Q 50 104 & Q 128 184 & Q 73 186 & Q 2 33 & Q 93 1 & Q 70 169 & Q 128 63 & Q 172 112 & Q 66 197 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & ,0.0,0,0,12,12,416
12,1715983677658,1715983677662,4,Q 20 21 & Q 137 138 & Q 14 196 & Q 1 57 & Q 7 45 & Q 183 32 & Q 90 35 & Q 11 27 & Q 196 186 & Q 43 198 & Q 18 65 & Q 71 49 & Q 80 162 & Q 104 182 & Q 128 7 & Q 105 146 & Q 145 142 & Q 57 23 & Q 58 145 & Q 100 71 & Q 79 111 & F,2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 3 & 2 & 3 & 3 & 3 & 3 & 2 & 2 & 2 & 3 & 2 & 2 & ,0.0,0,0,21,21,471
13,1715983678131,1715983678136,5,Q 87 131 & Q 46 108 & Q 160 160 & Q 115 22 & Q 7 182 & Q 186 75 & Q 2 33 & Q 67 24 & Q 121 3 & Q 136 12 & Q 45 113 & Q 103 8 & Q 116 189 & Q 4 185 & Q 158 70 & Q 156 62 & Q 174 87 & Q 75 193 & Q 149 142 & Q 107 197 & Q 152 184 & F,2 & 2 & 0 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & ,0.0,0,0,21,21,434
14,1715983678569,1715983678569,0,Q 10 14 & Q 146 181 & Q 70 175 & Q 6 148 & Q 117 100 & Q 43 52 & Q 82 20 & Q 162 105 & Q 57 5 & Q 140 128 & Q 127 190 & Q 20 198 & Q 84 86 & Q 85 60 & Q 49 74 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,15,15,415
15,1715983678987,1715983678994,7,Q 114 167 & Q 98 136 & Q 165 118 & Q 27 125 & Q 73 59 & Q 58 116 & Q 81 153 & Q 155 180 & Q 171 137 & Q 200 135 & Q 57 53 & Q 65 74 & Q 194 193 & Q 32 28 & Q 108 53 & Q 27 90 & Q 123 48 & Q 180 1 & Q 4 124 & F,2 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 3 & 2 & ,0.0,0,0,19,19,315
16,1715983679305,1715983679306,1,Q 166 97 & Q 139 8 & Q 35 31 & Q 28 163 & Q 104 170 & Q 139 12 & Q 162 119 & Q 117 88 & Q 198 54 & Q 155 61 & Q 162 150 & Q 165 162 & Q 176 134 & Q 114 103 & Q 148 26 & Q 98 155 & Q 27 76 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 1 & ,0.0,0,0,17,17,49
17,1715983679357,1715983679359,2,Q 195 165 & Q 73 25 & Q 169 196 & Q 17 61 & Q 21 40 & Q 63 60 & Q 86 60 & Q 58 139 & Q 164 198 & Q 67 116 & Q 199 128 & Q 37 55 & F,3 & 2 & 2 & 2 & 2 & 1 & 2 & 1 & 3 & 2 & 2 & 2 & ,0.0,0,0,12,12,15
18,1715983679375,1715983679377,2,Q 147 11 & Q 20 135 & Q 128 171 & Q 36 73 & Q 149 1 & Q 132 78 & Q 105 153 & Q 121 154 & Q 10 143 & Q 84 145 & Q 142 8 & Q 5 135 & Q 141 42 & Q 27 59 & F,2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,14,14,358
19,1715983679735,1715983679736,1,Q 120 86 & Q 142 127 & Q 195 42 & Q 146 175 & Q 109 81 & Q 59 104 & Q 104 186 & Q 23 86 & Q 183 50 & Q 176 142 & Q 185 10 & Q 112 139 & Q 16 167 & Q 108 194 & Q 100 42 & Q 113 62 & Q 50 141 & Q 112 177 & Q 180 37 & F,3 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 1 & 3 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,19,19,213
20,1715983679951,1715983679952,1,Q 120 9 & Q 101 36 & Q 15 199 & Q 7 167 & Q 1 116 & Q 185 67 & Q 5 87 & Q 52 123 & Q 161 55 & Q 92 45 & Q 57 2 & Q 119 7 & Q 103 62 & Q 136 197 & Q 30 189 & Q 156 121 & Q 194 108 & F,2 & 2 & 2 & 2 & 3 & 3 & 3 & 2 & 2 & 3 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,17,17,455
21,1715983680408,1715983680411,3,Q 85 39 & Q 54 181 & Q 116 17 & Q 60 151 & Q 182 29 & Q 125 176 & Q 93 99 & Q 165 82 & Q 133 108 & Q 145 97 & Q 136 127 & Q 120 181 & Q 82 78 & Q 114 157 & Q 179 78 & Q 198 32 & Q 101 94 & Q 144 154 & Q 149 44 & Q 188 52 & Q 60 27 & Q 141 103 & Q 193 117 & Q 179 11 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,24,24,293
22,1715983680704,1715983680705,1,Q 102 104 & Q 78 35 & Q 174 183 & Q 139 147 & Q 165 60 & Q 200 47 & Q 117 8 & Q 103 113 & Q 51 6 & Q 155 185 & Q 52 178 & Q 4 114 & Q 159 102 & Q 77 173 & Q 105 14 & Q 15 85 & Q 85 82 & F,2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & ,0.0,0,0,17,17,500
23,1715983681206,1715983681207,1,Q 158 200 & Q 35 78 & Q 196 95 & Q 162 60 & Q 74 178 & Q 157 54 & Q 27 139 & Q 158 20 & Q 186 88 & Q 89 37 & Q 97 188 & Q 48 183 & Q 199 198 & F,1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & ,0.0,0,0,13,13,287
24,1715983681495,1715983681496,1,Q 38 11 & Q 121 7 & Q 169 174 & Q 92 121 & Q 99 171 & Q 85 133 & Q 186 55 & Q 111 24 & Q 74 64 & Q 63 10 & Q 126 83 & Q 138 12 & Q 195 61 & Q 28 4 & Q 139 159 & Q 196 126 & Q 110 120 & Q 94 37 & Q 164 55 & Q 62 146 & Q 98 25 & Q 15 168 & Q 125 189 & Q 159 98 & Q 57 133 & Q 136 188 & Q 193 9 & Q 188 5 & Q 57 183 & Q 29 13 & Q 120 78 & Q 158 78 & Q 86 88 & Q 192 195 & F,2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 3 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & 3 & 2 & 1 & 2 & 2 & 2 & ,0.0,0,0,34,34,215
25,1715983681712,1715983681714,2,Q 135 109 & Q 151 48 & Q 131 131 & Q 95 19 & Q 87 154 & Q 18 119 & Q 40 191 & Q 13 58 & Q 39 81 & Q 79 34 & Q 79 50 & Q 65 168 & Q 45 27 & Q 64 132 & Q 23 103 & Q 14 185 & Q 158 162 & Q 10 130 & Q 162 108 & Q 159 48 & Q 47 109 & Q 84 70 & Q 138 66 & Q 150 13 & Q 20 34 & Q 133 185 & Q 190 138 & Q 73 46 & Q 173 159 & F,2 & 1 & 0 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 1 & 3 & 3 & 1 & 2 & 2 & 2 & 3 & 2 & 3 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,29,29,40
26,1715983681754,1715983681755,1,Q 81 5 & Q 170 109 & Q 100 115 & Q 76 145 & Q 24 50 & Q 136 159 & Q 191 124 & Q 4 95 & Q 58 61 & Q 15 110 & Q 116 18 & Q 128 113 & Q 58 100 & Q 24 15 & Q 49 76 & Q 28 185 & Q 169 105 & Q 14 73 & Q 35 159 & Q 108 100 & F,3 & 2 & 2 & 2 & 2 & 2 & 3 & 3 & 3 & 2 & 2 & 3 & 2 & 2 & 1 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,20,20,481
27,1715983682236,1715983682238,2,Q 33 106 & Q 94 40 & Q 103 159 & Q 94 167 & Q 145 133 & Q 154 171 & Q 191 1 & Q 107 127 & Q 126 73 & Q 31 195 & Q 168 26 & Q 39 22 & Q 10 22 & Q 31 128 & Q 150 169 & Q 168 78 & Q 52 46 & Q 82 194 & Q 180 152 & Q 67 85 & Q 76 101 & Q 126 152 & Q 50 200 & Q 49 85 & Q 113 52 & Q 14 153 & Q 180 66 & Q 176 181 & Q 89 170 & F,2 & 3 & 1 & 2 & 3 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 3 & 2 & 2 & 2 & 2 & 2 & ,0.0,0,0,29,29,293
28,1715983682531,1715983682533,2,Q 76 28 & Q 132 174 & Q 73 133 & Q 38 191 & Q 23 182 & Q 199 134 & Q 92 189 & Q 96 183 & Q 44 39 & Q 112 182 & F,2 & 2 & 1 & 2 & 2 & 2 & 1 & 2 & 2 & 2 & ,0.0,0,0,10,10,299
