Index,StartTimestamp,EndTimestamp,ResponseTime,Batch,BatchOutput,writePercentage,addOps,deleteOps,queryOps,batchSize,timeSleptAfterThisBatch
0,1715685056090,1715685056093,3,Q 26 6 & A 20 94 & Q 3 77 & Q 77 33 & Q 71 44 & A 1 64 & D 14 44 & D 31 59 & Q 47 31 & Q 31 86 & A 28 13 & Q 14 65 & Q 66 24 & D 76 35 & A 36 58 & Q 94 41 & Q 57 61 & F,GSPRemoteObject.processBatch called,41.41905315473055,4,3,10,17,4285
1,1715685060525,1715685060526,1,A 14 60 & Q 4 98 & A 53 2 & Q 95 99 & A 76 100 & Q 2 54 & D 74 34 & Q 61 26 & Q 1 95 & A 43 8 & Q 10 45 & Q 80 48 & Q 24 96 & Q 24 30 & Q 77 29 & Q 41 33 & D 84 12 & A 47 76 & D 47 5 & Q 52 32 & Q 7 96 & A 80 47 & F,GSPRemoteObject.processBatch called,39.19407948982788,6,3,13,22,7120
2,1715685067659,1715685067660,1,Q 23 24 & Q 3 53 & Q 39 33 & Q 69 26 & Q 28 34 & Q 28 22 & Q 5 4 & Q 94 48 & Q 31 36 & D 56 82 & Q 1 52 & Q 42 85 & Q 41 11 & Q 71 31 & Q 30 92 & Q 35 42 & A 7 82 & D 97 30 & Q 47 90 & A 100 75 & Q 37 46 & Q 32 99 & Q 67 79 & Q 80 90 & Q 94 75 & A 69 79 & F,GSPRemoteObject.processBatch called,22.334603969125702,3,2,21,26,8131
0,1715686984736,1715686984736,0,Q 26 6 & A 20 94 & Q 3 77 & Q 77 33 & Q 71 44 & A 1 64 & D 14 44 & D 31 59 & Q 47 31 & Q 31 86 & A 28 13 & Q 14 65 & Q 66 24 & D 76 35 & A 36 58 & Q 94 41 & Q 57 61 & A 14 60 & F,GSPRemoteObject.processBatch called,41.41905315473055,5,3,10,18,1755
1,1715686986700,1715686986701,1,Q 4 98 & A 53 2 & Q 95 99 & A 76 100 & Q 2 54 & D 74 34 & Q 61 26 & Q 1 95 & A 43 8 & Q 10 45 & Q 80 48 & F,GSPRemoteObject.processBatch called,39.19407948982788,3,1,7,11,875
2,1715686987577,1715686987578,1,D 30 77 & Q 29 71 & D 33 30 & Q 12 10 & Q 76 23 & Q 5 98 & Q 32 71 & A 96 7 & Q 47 29 & Q 24 53 & D 23 24 & F,GSPRemoteObject.processBatch called,42.25911337179154,1,3,7,11,8815
0,1715687399690,1715687399690,0,Q 26 6 & A 20 94 & Q 3 77 & Q 77 33 & Q 71 44 & A 1 64 & D 14 44 & D 31 59 & Q 47 31 & Q 31 86 & A 28 13 & Q 14 65 & Q 66 24 & D 76 35 & A 36 58 & Q 94 41 & Q 57 61 & A 14 60 & F,GSPRemoteObject.processBatch called,41.41905315473055,5,3,10,18,1755
1,1715687401576,1715687401577,1,Q 4 98 & A 53 2 & Q 95 99 & A 76 100 & Q 2 54 & D 74 34 & Q 61 26 & Q 1 95 & A 43 8 & Q 10 45 & Q 80 48 & F,GSPRemoteObject.processBatch called,39.19407948982788,3,1,7,11,875
2,1715687402452,1715687402454,2,D 30 77 & Q 29 71 & D 33 30 & Q 12 10 & Q 76 23 & Q 5 98 & Q 32 71 & A 96 7 & Q 47 29 & Q 24 53 & D 23 24 & F,GSPRemoteObject.processBatch called,42.25911337179154,1,3,7,11,8815
0,1715687541237,1715687541237,0,Q 26 6 & A 20 94 & Q 3 77 & Q 77 33 & Q 71 44 & A 1 64 & D 14 44 & D 31 59 & Q 47 31 & Q 31 86 & A 28 13 & Q 14 65 & Q 66 24 & D 76 35 & A 36 58 & Q 94 41 & Q 57 61 & A 14 60 & F,GSPRemoteObject.processBatch called,41.41905315473055,5,3,10,18,1755
