Index, StartTimestamp, EndTimestamp, ResponseTime, Batch, BatchOutput, writePercentage, addOps, deleteOps, queryOps, batchSize, timeSleptAfterThisBatch
0, 1715685056090, 1715685056092, 2, Q 81 59 & Q 83 1 & D 24 95 & D 77 69 & A 100 76 & D 50 86 & Q 75 27 & D 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & D 94 35 & D 80 25 & A 6 35 & Q 66 14 & Q 77 71 & Q 85 42 & F, GSPRemoteObject.processBatch called, 40.61373233848597, 5, 6, 9, 20, 6447
1, 1715685062637, 1715685062638, 1, D 74 38 & Q 18 10 & Q 58 65 & A 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & D 63 89 & D 40 96 & Q 4 44 & Q 96 77 & A 87 1 & Q 14 20 & Q 20 90 & F, GSPRemoteObject.processBatch called, 39.37312824305979, 3, 3, 10, 16, 3633
2, 1715685066273, 1715685066274, 1, Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & Q 38 32 & Q 78 85 & D 99 45 & D 43 33 & A 34 93 & A 81 26 & D 4 35 & F, GSPRemoteObject.processBatch called, 33.63625420673387, 5, 4, 8, 17, 3005
0, 1715686984736, 1715686984736, 0, Q 81 59 & Q 83 1 & D 24 95 & D 77 69 & A 100 76 & D 50 86 & Q 75 27 & D 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & D 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 40.61373233848597, 5, 6, 7, 18, 1056
1, 1715686986001, 1715686986002, 1, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & A 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 39.37312824305979, 2, 1, 8, 11, 4929
2, 1715686990933, 1715686990933, 0, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.338777285157995, 5, 3, 9, 17, 4382
0, 1715687399690, 1715687399690, 0, Q 81 59 & Q 83 1 & D 24 95 & D 77 69 & A 100 76 & D 50 86 & Q 75 27 & D 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & D 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 40.61373233848597, 5, 6, 7, 18, 1056
1, 1715687400855, 1715687400856, 1, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & A 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 39.37312824305979, 2, 1, 8, 11, 4929
2, 1715687405786, 1715687405787, 1, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.338777285157995, 5, 3, 9, 17, 4382
0, 1715687541237, 1715687541253, 16, Q 81 59 & Q 83 1 & D 24 95 & D 77 69 & A 100 76 & D 50 86 & Q 75 27 & D 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & D 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 40.61373233848597, 5, 6, 7, 18, 1056
1, 1715687542421, 1715687542421, 0, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & A 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 39.37312824305979, 2, 1, 8, 11, 4929
2, 1715687547351, 1715687547352, 1, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.338777285157995, 5, 3, 9, 17, 4382
0, 1715687620792, 1715687620792, 0, Q 81 59 & Q 83 1 & D 24 95 & D 77 69 & A 100 76 & D 50 86 & Q 75 27 & D 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & D 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 40.61373233848597, 5, 6, 7, 18, 1056
1, 1715687621963, 1715687621964, 1, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & A 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 39.37312824305979, 2, 1, 8, 11, 4929
2, 1715687626895, 1715687626896, 1, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.338777285157995, 5, 3, 9, 17, 4382
0, 1715688314935, 1715688314935, 0, Q 81 59 & Q 83 1 & D 24 95 & D 77 69 & A 100 76 & D 50 86 & Q 75 27 & D 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & D 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 40.61373233848597, 5, 6, 7, 18, 1056
1, 1715688316172, 1715688316172, 0, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & A 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 39.37312824305979, 2, 1, 8, 11, 4929
2, 1715688321102, 1715688321103, 1, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.338777285157995, 5, 3, 9, 17, 4382
0, 1715688394420, 1715688394423, 3, Q 81 59 & Q 83 1 & D 24 95 & D 77 69 & A 100 76 & D 50 86 & Q 75 27 & D 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & D 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 40.61373233848597, 5, 6, 7, 18, 1056
1, 1715688395557, 1715688395558, 1, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & A 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 39.37312824305979, 2, 1, 8, 11, 4929
2, 1715688400487, 1715688400488, 1, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.338777285157995, 5, 3, 9, 17, 4382
0, 1715688589385, 1715688589385, 0, Q 81 59 & Q 83 1 & D 24 95 & Q 77 69 & A 100 76 & D 50 86 & Q 75 27 & Q 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & Q 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 30.0, 5, 3, 10, 18, 1056
1, 1715688590559, 1715688590561, 2, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & D 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 30.0, 1, 2, 8, 11, 4929
2, 1715688595490, 1715688595491, 1, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.0, 5, 3, 9, 17, 4382
0, 1715693177385, 1715693177395, 10, Q 81 59 & Q 83 1 & D 24 95 & Q 77 69 & A 100 76 & D 50 86 & Q 75 27 & Q 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & Q 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 30.0, 5, 3, 10, 18, 1056
1, 1715693178696, 1715693178698, 2, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & D 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 30.0, 1, 2, 8, 11, 4929
2, 1715693183627, 1715693183631, 4, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.0, 5, 3, 9, 17, 4382
3, 1715693188013, 1715693188015, 2, Q 38 32 & Q 78 85 & D 99 45 & D 43 33 & A 34 93 & A 81 26 & D 4 35 & D 20 63 & A 35 23 & A 95 70 & Q 69 45 & A 78 96 & Q 31 60 & F, GSPRemoteObject.processBatch called, 30.0, 5, 4, 4, 13, 7569
4, 1715693195586, 1715693195588, 2, Q 83 66 & Q 78 87 & A 99 74 & A 82 56 & Q 9 47 & D 22 89 & Q 77 93 & Q 69 59 & Q 76 94 & Q 60 26 & Q 35 21 & A 50 13 & Q 52 68 & Q 99 15 & F, GSPRemoteObject.processBatch called, 30.0, 3, 1, 10, 14, 9884
5, 1715693205473, 1715693205475, 2, Q 64 17 & Q 40 53 & A 93 43 & Q 100 58 & Q 85 4 & Q 12 74 & D 17 81 & Q 18 43 & D 64 21 & A 51 58 & Q 7 11 & Q 4 85 & Q 89 59 & Q 76 71 & F, GSPRemoteObject.processBatch called, 30.0, 2, 2, 10, 14, 2356
6, 1715693207831, 1715693207833, 2, Q 65 73 & Q 78 21 & D 25 67 & Q 61 49 & Q 20 81 & A 21 89 & Q 19 79 & Q 93 58 & Q 62 43 & Q 69 73 & A 22 13 & A 92 18 & F, GSPRemoteObject.processBatch called, 30.0, 3, 1, 8, 12, 8241
7, 1715693216412, 1715693216414, 2, Q 30 43 & Q 26 9 & Q 97 33 & Q 97 33 & Q 69 62 & Q 32 60 & Q 6 58 & D 43 23 & Q 56 86 & Q 36 26 & F, GSPRemoteObject.processBatch called, 30.0, 0, 1, 9, 10, 1139
8, 1715693217555, 1715693217558, 3, D 19 78 & Q 66 47 & D 92 23 & Q 32 60 & D 9 46 & Q 64 3 & D 72 65 & Q 76 51 & A 39 55 & A 30 16 & Q 95 33 & Q 52 19 & Q 12 99 & Q 40 85 & A 29 64 & Q 20 30 & Q 99 23 & F, GSPRemoteObject.processBatch called, 30.0, 3, 4, 10, 17, 2585
9, 1715693220143, 1715693220146, 3, Q 100 86 & Q 30 19 & Q 95 73 & D 59 46 & D 58 73 & Q 78 2 & Q 9 10 & Q 93 1 & Q 64 5 & Q 7 75 & Q 64 83 & Q 88 24 & Q 2 72 & A 77 7 & Q 66 30 & Q 89 84 & A 48 73 & Q 92 71 & D 55 9 & Q 86 28 & Q 45 37 & F, GSPRemoteObject.processBatch called, 30.0, 2, 3, 16, 21, 8766
0, 1715695162422, 1715695162430, 8, Q 81 59 & Q 83 1 & D 24 95 & Q 77 69 & A 100 76 & D 50 86 & Q 75 27 & Q 54 48 & A 74 34 & A 66 94 & Q 42 46 & Q 30 11 & A 28 61 & Q 47 91 & Q 94 35 & D 80 25 & A 6 35 & Q 66 14 & F, GSPRemoteObject.processBatch called, 30.0, 5, 3, 10, 18, 1056
1, 1715695163526, 1715695163529, 3, Q 77 71 & Q 85 42 & D 74 38 & Q 18 10 & Q 58 65 & D 99 65 & Q 81 19 & Q 67 85 & Q 24 38 & A 100 62 & Q 98 63 & F, GSPRemoteObject.processBatch called, 30.0, 1, 2, 8, 11, 4929
2, 1715695168460, 1715695168463, 3, Q 96 51 & A 44 48 & Q 77 19 & Q 1 79 & A 20 71 & D 90 64 & D 94 28 & Q 71 73 & Q 15 87 & A 89 36 & Q 100 39 & Q 65 48 & D 44 94 & Q 90 56 & A 10 44 & A 34 65 & Q 72 87 & F, GSPRemoteObject.processBatch called, 30.0, 5, 3, 9, 17, 4382
3, 1715695172847, 1715695172849, 2, Q 38 32 & Q 78 85 & D 99 45 & D 43 33 & A 34 93 & A 81 26 & D 4 35 & D 20 63 & A 35 23 & A 95 70 & Q 69 45 & A 78 96 & Q 31 60 & F, GSPRemoteObject.processBatch called, 30.0, 5, 4, 4, 13, 7569
4, 1715695180419, 1715695180421, 2, Q 83 66 & Q 78 87 & A 99 74 & A 82 56 & Q 9 47 & D 22 89 & Q 77 93 & Q 69 59 & Q 76 94 & Q 60 26 & Q 35 21 & A 50 13 & Q 52 68 & Q 99 15 & F, GSPRemoteObject.processBatch called, 30.0, 3, 1, 10, 14, 9884
